Ano;Mês;UF;  IRPF  
2000;Julho;MG;24.167.733
2000;Julho;PA;3.205.248
2000;Julho;PB;2.183.634
2000;Julho;PR;15.996.750
2000;Julho;PE;40.329.393
2000;Julho;PI;1.448.891
2000;Julho;RJ;61.604.252
2000;Julho;RN;1.842.430
2000;Julho;RS;24.729.072
2000;Julho;RO;994.787
2000;Julho;RR;397.350
2000;Julho;SC;7.807.435
2000;Julho;SP;125.676.713
2000;Julho;SE;7.575.387
2000;Julho;TO;409.403
2000;Agosto;AC;437.173
2000;Agosto;AL;1.698.211
2000;Agosto;AP;418.449
2000;Agosto;AM;2.205.350
2000;Agosto;BA;6.158.763
2000;Agosto;CE;5.483.575
2000;Agosto;DF;9.906.091
2000;Agosto;ES;3.908.826
2000;Agosto;GO;4.812.044
2000;Agosto;MA;1.583.120
2000;Agosto;MT;2.169.938
2000;Agosto;MS;3.233.368
2000;Agosto;MG;22.168.283
2000;Agosto;PA;3.093.062
2000;Agosto;PB;2.183.767
2000;Agosto;PR;16.016.136
2000;Agosto;PE;6.886.355
2000;Agosto;PI;1.495.745
2000;Agosto;RJ;61.727.523
2000;Agosto;RN;1.805.089
2000;Agosto;RS;23.689.428
2000;Agosto;RO;873.441
2000;Agosto;RR;443.702
2000;Agosto;SC;7.305.625
2000;Agosto;SP;130.596.479
2000;Agosto;SE;1.917.133
2000;Agosto;TO;395.684
2000;Setembro;AC;421.224
2000;Setembro;AL;1.335.267
2000;Setembro;AP;427.439
2000;Setembro;AM;2.142.129
2000;Setembro;BA;5.303.579
2000;Setembro;CE;5.414.962
2000;Setembro;DF;8.073.225
2000;Setembro;ES;3.388.128
2000;Setembro;GO;4.397.035
2000;Setembro;MA;1.334.886
2000;Setembro;MT;2.034.144
2000;Setembro;MS;2.797.071
2000;Setembro;MG;20.222.038
2000;Setembro;PA;2.823.613
2000;Setembro;PB;2.135.441
2000;Setembro;PR;15.332.890
2000;Setembro;PE;6.597.171
2000;Setembro;PI;1.281.121
2000;Setembro;RJ;57.749.374
2000;Setembro;RN;1.595.709
2000;Setembro;RS;29.848.048
2000;Setembro;RO;891.752
2000;Setembro;RR;329.728
2000;Setembro;SC;6.232.228
2000;Setembro;SP;134.278.032
2000;Setembro;SE;1.682.433
2000;Setembro;TO;373.589
2000;Outubro;AC;222.122
2000;Outubro;AL;741.453
2000;Outubro;AP;181.565
2000;Outubro;AM;1.156.901
2000;Outubro;BA;4.478.931
2000;Outubro;CE;2.493.316
2000;Outubro;DF;4.551.793
2000;Outubro;ES;1.578.796
2000;Outubro;GO;1.462.950
2000;Outubro;MA;647.197
2000;Outubro;MT;1.031.178
2000;Outubro;MS;1.304.127
2000;Outubro;MG;10.715.640
2000;Outubro;PA;1.441.843
2000;Outubro;PB;948.080
2000;Outubro;PR;8.295.928
2000;Outubro;PE;2.851.369
2000;Outubro;PI;574.375
2000;Outubro;RJ;33.544.964
2000;Outubro;RN;716.190
2000;Outubro;RS;10.281.472
2000;Outubro;RO;513.655
2000;Outubro;RR;216.554
2000;Outubro;SC;3.133.749
2000;Outubro;SP;78.557.413
2000;Outubro;SE;617.168
2000;Outubro;TO;206.796
2000;Novembro;AC;169.288
2000;Novembro;AL;634.594
2000;Novembro;AP;153.866
2000;Novembro;AM;929.621
2000;Novembro;BA;8.391.744
2000;Novembro;CE;1.777.055
2000;Novembro;DF;3.265.897
2000;Novembro;ES;1.481.087
2000;Novembro;GO;1.331.018
2000;Novembro;MA;538.068
2000;Novembro;MT;879.430
2000;Novembro;MS;1.325.046
2000;Novembro;MG;10.144.657
2000;Novembro;PA;1.058.694
2000;Novembro;PB;846.546
2000;Novembro;PR;7.603.857
2000;Novembro;PE;2.481.074
2000;Novembro;PI;433.014
2000;Novembro;RJ;36.119.391
2000;Novembro;RN;899.884
2000;Novembro;RS;29.484.255
2000;Novembro;RO;599.274
2000;Novembro;RR;168.719
2000;Novembro;SC;2.751.444
2000;Novembro;SP;99.678.299
2000;Novembro;SE;697.487
2000;Novembro;TO;163.929
2000;Dezembro;AC;148.587
2000;Dezembro;AL;901.175
2000;Dezembro;AP;688.647
2000;Dezembro;AM;853.351
2000;Dezembro;BA;2.482.408
2000;Dezembro;CE;2.300.189
2000;Dezembro;DF;5.121.727
2000;Dezembro;ES;1.851.757
2000;Dezembro;GO;1.497.834
2000;Dezembro;MA;532.393
2000;Dezembro;MT;883.316
2000;Dezembro;MS;1.226.221
2000;Dezembro;MG;11.058.476
2000;Dezembro;PA;1.401.299
2000;Dezembro;PB;1.010.300
2000;Dezembro;PR;8.683.971
2000;Dezembro;PE;2.786.532
2000;Dezembro;PI;488.821
2000;Dezembro;RJ;34.341.962
2000;Dezembro;RN;746.060
2000;Dezembro;RS;9.933.608
2000;Dezembro;RO;444.938
2000;Dezembro;RR;198.040
2000;Dezembro;SC;3.254.322
2000;Dezembro;SP;88.674.430
2000;Dezembro;SE;682.263
2000;Dezembro;TO;156.081
2001;Janeiro;AC;168.678
2001;Janeiro;AL;646.799
2001;Janeiro;AP;165.886
2001;Janeiro;AM;848.863
2001;Janeiro;BA;2.447.412
2001;Janeiro;CE;2.562.143
2001;Janeiro;DF;3.573.470
2001;Janeiro;ES;1.852.325
2001;Janeiro;GO;1.371.892
